root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
23:04:21.252133 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30080:30236, ack 1, win 501, length 156
23:04:21.252192 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30236:30392, ack 1, win 501, length 156
23:04:21.252258 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30392:30548, ack 1, win 501, length 156
23:04:21.252317 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30548:30704, ack 1, win 501, length 156
23:04:21.252372 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30704:30860, ack 1, win 501, length 156
23:04:21.252434 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 30860:31016, ack 1, win 501, length 156
23:04:21.252490 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31016:31172, ack 1, win 501, length 156
23:04:21.252547 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31172:31328, ack 1, win 501, length 156
23:04:21.252603 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31328:31484, ack 1, win 501, length 156
23:04:21.252663 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31484:31640, ack 1, win 501, length 156
23:04:21.252725 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31640:31796, ack 1, win 501, length 156
23:04:21.252784 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31796:31952, ack 1, win 501, length 156
23:04:21.252854 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 31952:32108, ack 1, win 501, length 156
23:04:21.252922 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32108:32264, ack 1, win 501, length 156
23:04:21.252988 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32264:32420, ack 1, win 501, length 156
23:04:21.253046 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32420:32576, ack 1, win 501, length 156
23:04:21.253103 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32576:32732, ack 1, win 501, length 156
23:04:21.253175 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32732:32888, ack 1, win 501, length 156
23:04:21.253234 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 32888:33044, ack 1, win 501, length 156
23:04:21.253300 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33044:33200, ack 1, win 501, length 156
23:04:21.253357 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33200:33356, ack 1, win 501, length 156
23:04:21.253414 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33356:33512, ack 1, win 501, length 156
23:04:21.253482 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33512:33668, ack 1, win 501, length 156
23:04:21.253548 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33668:33824, ack 1, win 501, length 156
23:04:21.253705 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33824:33980, ack 1, win 501, length 156
23:04:21.253779 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 33980:34136, ack 1, win 501, length 156
23:04:21.253848 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 34136:34292, ack 1, win 501, length 156
23:04:21.253963 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 22224, win 2484, length 0
23:04:21.253984 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 34292:34448, ack 1, win 501, length 156
23:04:21.254008 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 28624, win 2484, length 0
23:04:21.254088 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 34448:34812, ack 1, win 501, length 364
23:04:21.254156 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 34812:34968, ack 1, win 501, length 156
